34	김찬형	21NS2B	0.116	89	36	379.1	169	55	110	4	.976	3.92	-0.04	0.00	0.00	0.00	0.34	0.31	0.96	0.86	1.16	0.030	0.116
35	이상호	21L1B	0.115	44	15	180.0	97	47	48	2	.979	4.75	1.00	0.00	0.00	0.00	0.08	1.09	7.22	0.07	1.15	0.109	0.115
36	이주형	21L1B	0.105	4	3	22.0	25	24	1	0	1.000	10.23	1.18	0.00	0.00	0.00	0.04	1.22	66.26	-0.19	1.03	0.124	0.105
37	김태진	21K2B	0.104	98	96	830.2	269	74	178	17	.937	2.73	0.45	0.00	0.00	0.00	-0.84	-0.38	-0.55	1.42	1.04	-0.038	0.104
38	김현민	21한2B	0.096	3	1	13.0	7	2	5	0	1.000	4.85	0.86	0.00	0.00	0.00	0.03	0.89	82.22	0.02	0.91	0.094	0.096
39	나주환	21K1B	0.091	13	4	53.2	21	13	8	0	1.000	3.52	0.75	0.00	0.00	0.00	0.15	0.91	20.22	-0.01	0.90	0.092	0.091
40	박찬호	21KSS	0.078	129	126	1100.1	549	205	320	24	.956	4.29	-4.31	0.00	0.00	0.00	-0.57	-4.88	-5.31	5.66	0.78	-0.488	0.078
41	문찬종	21키1B	0.066	11	3	39.1	23	9	14	0	1.000	5.26	0.48	0.00	0.00	0.00	0.11	0.59	17.98	0.07	0.66	0.059	0.066
42	정현	21SN2B	0.057	64	29	306.2	127	51	72	4	.969	3.61	-0.02	0.00	0.00	0.00	0.06	0.03	0.13	0.54	0.57	0.003	0.057
43	박계범	21두2B	0.056	149	98	831.1	385	161	213	11	.971	4.05	-2.67	0.00	0.00	0.00	0.50	-2.17	-3.12	2.73	0.56	-0.215	0.056
44	안상현	21S2B	0.054	23	9	85.0	48	21	25	2	.958	4.87	0.56	0.00	0.00	0.00	-0.17	0.38	5.41	0.16	0.54	0.038	0.054
45	최정용	21K2B	0.052	28	8	101.1	56	22	32	2	.964	4.80	0.47	0.00	0.00	0.00	-0.12	0.35	4.12	0.17	0.52	0.035	0.052
46	박민우	21N2B	0.049	49	48	384.0	215	103	109	3	.986	4.97	-0.57	0.00	0.00	0.00	0.40	-0.17	-0.54	0.66	0.49	-0.017	0.049
47	강민국	21K2B	0.042	17	13	108.0	70	24	45	1	.986	5.75	0.15	0.00	0.00	0.00	0.08	0.23	2.55	0.18	0.41	0.023	0.042
48	신민재	21L2B	0.037	12	4	40.0	23	8	14	1	.957	4.95	0.39	0.00	0.00	0.00	-0.09	0.30	8.94	0.07	0.37	0.030	0.037
49	이주찬	21롯2B	0.036	2	2	17.0	10	5	5	0	1.000	5.29	0.23	0.00	0.00	0.00	0.05	0.29	20.14	0.05	0.34	0.030	0.036
50	고명성	21K2B	0.030	6	0	6.2	3	0	3	0	1.000	4.05	0.25	0.00	0.00	0.00	0.02	0.28	49.66	0.03	0.30	0.028	0.030
51	김인태	21두1B	0.030	1	0	2.0	3	3	0	0	1.000	13.50	0.31	0.00	0.00	0.00	0.00	0.32	190.63	-0.02	0.30	0.032	0.030
52	박지훈	21두1B	0.026	22	0	35.2	29	24	5	0	1.000	7.32	0.31	0.00	0.00	0.00	0.09	0.40	13.38	-0.14	0.26	0.040	0.026
53	페레즈	21한1B	0.025	59	41	369.0	258	186	63	9	.965	6.07	2.24	0.00	0.00	0.00	-0.86	1.39	4.50	-1.13	0.25	0.138	0.025
54	김민수	21N3B	0.025	7	1	17.0	3	0	3	0	1.000	1.59	0.17	0.00	0.00	0.00	0.05	0.22	15.38	0.03	0.25	0.022	0.025
55	조한민	21한1B	0.023	26	15	131.0	77	53	21	3	.961	5.08	0.60	0.00	0.00	0.00	-0.25	0.35	3.24	-0.12	0.23	0.036	0.023
